日期,时间,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,领涨股涨跌幅,领涨股当前价(元)
2017-12-06,11:55,半导体及元件,3676.74,2.32%,53.83,39.70,14.13,71,盈方微,10.00%,6.60
2017-12-06,11:55,光学光电子,3084.49,0.55%,32.02,36.79,-4.77,59,聚灿光电,10.00%,26.72
2017-12-06,11:55,计算机应用,7206,-0.03%,29.14,31.52,-2.37,157,科创信息,9.97%,13.24
2017-12-06,11:55,化学制品,3374.58,-0.01%,27.34,27.45,-0.11,187,中欣氟材,10.04%,10.19
2017-12-06,11:55,通信设备,3290.33,0.10%,25.51,27.89,-2.38,87,铭普光磁,4.03%,36.41
2017-12-06,11:55,有色冶炼加工,1849.78,-0.90%,22.95,33.25,-10.30,79,宝钛股份,4.51%,20.15
2017-12-06,11:55,银行,1098.92,-0.42%,22.42,33.03,-10.61,50,常熟银行,1.26%,7.23
2017-12-06,11:55,房地产开发,2166.21,-0.24%,19.93,23.04,-3.11,129,京汉股份,3.08%,10.05
2017-12-06,11:55,电气设备,3287.11,-0.26%,19.71,24.19,-4.48,190,长缆科技,8.94%,56.65
2017-12-06,11:55,饮料制造,1945.59,-0.26%,18.62,19.64,-1.03,40,香飘飘,10.01%,29.90
2017-12-06,11:55,钢铁,1433.8,-2.21%,17.95,32.16,-14.21,32,常宝股份,3.46%,5.39
2017-12-06,11:55,保险及其他,2901.73,-1.29%,17.72,29.67,-11.95,25,经纬纺机,1.28%,19.71
2017-12-06,11:55,专用设备,3427.31,-0.33%,17.11,21.23,-4.11,142,冀东装备,5.97%,18.82
2017-12-06,11:55,证券,1280.39,-0.42%,14.84,24.60,-9.76,35,华安证券,1.49%,7.52
2017-12-06,11:55,建筑装饰,3750.93,-0.31%,12.83,17.29,-4.46,119,名雕股份,2.85%,21.99
2017-12-06,11:55,化学制药,3494.59,-0.49%,12.58,13.64,-1.06,89,京新药业,3.56%,12.20
2017-12-06,11:55,建筑材料,3788.86,-0.78%,12.40,21.80,-9.40,71,瑞泰科技,4.17%,11.25
2017-12-06,11:55,传媒,2766.23,0.30%,12.23,12.49,-0.26,102,新华传媒,8.20%,5.94
2017-12-06,11:55,通用设备,3375.45,-0.07%,11.08,12.20,-1.12,150,泰嘉股份,10.00%,21.45
2017-12-06,11:55,白色家电,3489.88,-0.39%,11.07,15.68,-4.61,48,万和电气,3.36%,21.20
2017-12-06,11:55,电子制造,4910.4,0.39%,10.71,11.15,-0.44,47,深华发A,4.99%,14.11
2017-12-06,11:55,零售,1518.99,-0.06%,10.00,9.41,0.58,74,通灵珠宝,5.28%,28.11
2017-12-06,11:55,新材料,4170.73,0.23%,9.97,9.47,0.50,34,天通股份,2.92%,10.59
2017-12-06,11:55,生物制品,5354.41,0.22%,9.79,10.09,-0.30,49,药石科技,8.44%,74.00
2017-12-06,11:55,计算机设备,2557.06,0.15%,8.68,9.73,-1.06,47,新国都,2.47%,24.90
2017-12-06,11:55,国防军工,1323.15,0.11%,8.24,8.42,-0.18,40,北斗星通,3.97%,32.21
2017-12-06,11:55,化工合成材料,3217.55,-0.16%,8.19,9.70,-1.51,76,恒力股份,3.58%,11.85
2017-12-06,11:55,基础化学,2403.06,-0.49%,7.73,9.16,-1.43,45,天原集团,2.13%,8.15
2017-12-06,11:55,煤炭开采,1339.92,-0.32%,7.55,10.18,-2.63,33,山煤国际,4.02%,4.92
2017-12-06,11:55,汽车零部件,2979.79,-0.17%,7.37,10.45,-3.08,104,斯太尔,2.18%,7.02
2017-12-06,11:55,医药商业,4750.2,0.20%,7.03,11.57,-4.54,22,海虹控股,6.40%,32.09
2017-12-06,11:55,环保工程,4644.48,0.11%,6.83,7.08,-0.25,38,蒙草生态,2.58%,13.11
2017-12-06,11:55,汽车整车,1533.34,-0.39%,6.59,10.00,-3.41,25,海马汽车,1.82%,4.47
2017-12-06,11:55,养殖业,2715.83,0.76%,6.28,3.91,2.37,23,新五丰,5.64%,5.99
2017-12-06,11:55,其他电子,4111.62,-0.18%,5.83,8.38,-2.55,46,民德电子,5.71%,55.51
2017-12-06,11:55,通信服务,2612.36,-0.05%,5.78,9.16,-3.38,43,掌阅科技,10.01%,43.20
2017-12-06,11:55,食品加工制造,3274.57,-0.36%,5.21,7.65,-2.44,50,庄园牧场,3.41%,18.49
2017-12-06,11:55,中药,2857.92,-0.14%,4.73,6.38,-1.65,68,众生药业,1.96%,12.49
2017-12-06,11:55,非汽车交运,3070.66,-0.42%,4.73,6.57,-1.84,21,新日股份,1.41%,12.93
2017-12-06,11:55,农产品加工,2682.81,0.13%,4.64,4.49,0.15,37,东凌国际,4.80%,7.86
2017-12-06,11:55,医疗器械服务,7216.21,0.18%,4.57,5.32,-0.75,55,三鑫医疗,4.66%,17.08
2017-12-06,11:55,电力,1042.15,-0.25%,3.84,5.62,-1.78,69,上海电力,2.02%,9.58
2017-12-06,11:55,物流,4779.6,-0.05%,3.83,4.30,-0.47,32,澳洋顺昌,3.62%,10.87
2017-12-06,11:55,综合,1903.28,0.04%,3.60,3.68,-0.08,28,九鼎投资,4.16%,26.04
2017-12-06,11:55,服装家纺,2674.42,0.16%,3.47,2.67,0.80,52,际华集团,6.24%,6.98
2017-12-06,11:55,机场航运,2080.96,-1.13%,3.26,6.35,-3.08,11,中信海直,0.68%,8.91
2017-12-06,11:55,视听器材,2531.78,0.13%,2.93,3.03,-0.10,13,兆驰股份,3.37%,3.99
2017-12-06,11:55,化工新材料,3951.9,0.62%,2.83,2.66,0.17,15,九鼎新材,4.54%,10.59
2017-12-06,11:55,家用轻工,3716.91,-0.59%,2.78,3.52,-0.73,69,好太太,10.04%,15.13
2017-12-06,11:55,石油矿业开采,1736.42,-1.58%,2.77,4.71,-1.93,13,金石资源,2.06%,18.35
2017-12-06,11:55,贸易,2694.66,0.03%,2.71,3.00,-0.29,32,远大控股,4.07%,12.52
2017-12-06,11:55,燃气水务,1542.06,-0.90%,2.64,4.04,-1.40,36,渤海股份,2.53%,18.25
2017-12-06,11:55,港口航运,876.858,-1.04%,2.34,4.73,-2.39,28,秦港股份,1.39%,5.82
2017-12-06,11:55,种植业与林业,2393.63,0.79%,2.32,1.61,0.71,20,苏垦农发,5.03%,14.00
2017-12-06,11:55,包装印刷,2593.17,-0.42%,2.17,2.60,-0.43,35,创新股份,7.86%,92.50
2017-12-06,11:55,公路铁路运输,947.156,-0.24%,1.80,2.38,-0.58,24,重庆路桥,0.69%,4.41
2017-12-06,11:55,造纸,1701.59,-0.59%,1.77,2.51,-0.74,21,冠豪高新,1.32%,4.59
2017-12-06,11:55,景点及旅游,2430.24,0.16%,1.70,1.66,0.04,23,曲江文旅,2.90%,19.19
2017-12-06,11:55,纺织制造,1942.04,-0.08%,1.33,1.84,-0.52,42,天首发展,1.29%,7.07
2017-12-06,11:55,仪器仪表,2807.36,0.17%,1.14,1.60,-0.46,28,必创科技,4.16%,37.60
2017-12-06,11:55,采掘服务,1135.89,-0.78%,1.01,1.73,-0.72,15,通源石油,1.48%,5.50
2017-12-06,11:55,交运设备服务,1158.78,-0.24%,0.90,1.02,-0.13,11,申华控股,1.11%,2.73
2017-12-06,11:55,园区开发,1871.35,-0.02%,0.75,0.78,-0.03,10,电子城,1.34%,11.31
2017-12-06,11:55,农业服务,7302.52,-0.06%,0.49,0.62,-0.13,9,瑞普生物,1.32%,11.51
2017-12-06,11:55,公交,1208.1,0.81%,0.32,0.29,0.03,8,申通地铁,6.46%,10.38
2017-12-06,11:55,酒店及餐饮,1213.33,-0.54%,0.29,0.31,-0.02,10,锦江股份,2.34%,28.42
2017-12-06,12:00,半导体及元件,3676.74,2.32%,53.83,39.70,14.13,71,盈方微,10.00%,6.60
2017-12-06,12:00,光学光电子,3084.49,0.55%,32.02,36.79,-4.77,59,聚灿光电,10.00%,26.72
2017-12-06,12:00,计算机应用,7206,-0.03%,29.14,31.52,-2.37,157,科创信息,9.97%,13.24
2017-12-06,12:00,化学制品,3374.58,-0.01%,27.34,27.45,-0.11,187,中欣氟材,10.04%,10.19
2017-12-06,12:00,通信设备,3290.33,0.10%,25.51,27.89,-2.38,87,铭普光磁,4.03%,36.41
2017-12-06,12:00,有色冶炼加工,1849.78,-0.90%,22.95,33.25,-10.30,79,宝钛股份,4.51%,20.15
2017-12-06,12:00,银行,1098.92,-0.42%,22.42,33.03,-10.61,50,常熟银行,1.26%,7.23
2017-12-06,12:00,房地产开发,2166.21,-0.24%,19.93,23.04,-3.11,129,京汉股份,3.08%,10.05
2017-12-06,12:00,电气设备,3287.11,-0.26%,19.71,24.19,-4.48,190,长缆科技,8.94%,56.65
2017-12-06,12:00,饮料制造,1945.59,-0.26%,18.62,19.64,-1.03,40,香飘飘,10.01%,29.90
2017-12-06,12:00,钢铁,1433.8,-2.21%,17.95,32.16,-14.21,32,常宝股份,3.46%,5.39
2017-12-06,12:00,保险及其他,2901.73,-1.29%,17.72,29.67,-11.95,25,经纬纺机,1.28%,19.71
2017-12-06,12:00,专用设备,3427.31,-0.33%,17.11,21.23,-4.11,142,冀东装备,5.97%,18.82
2017-12-06,12:00,证券,1280.39,-0.42%,14.84,24.60,-9.76,35,华安证券,1.49%,7.52
2017-12-06,12:00,建筑装饰,3750.93,-0.31%,12.83,17.29,-4.46,119,名雕股份,2.85%,21.99
2017-12-06,12:00,化学制药,3494.59,-0.49%,12.58,13.64,-1.06,89,京新药业,3.56%,12.20
2017-12-06,12:00,建筑材料,3788.86,-0.78%,12.40,21.80,-9.40,71,瑞泰科技,4.17%,11.25
2017-12-06,12:00,传媒,2766.23,0.30%,12.23,12.49,-0.26,102,新华传媒,8.20%,5.94
2017-12-06,12:00,通用设备,3375.45,-0.07%,11.08,12.20,-1.12,150,泰嘉股份,10.00%,21.45
2017-12-06,12:00,白色家电,3489.88,-0.39%,11.07,15.68,-4.61,48,万和电气,3.36%,21.20
2017-12-06,12:00,电子制造,4910.4,0.39%,10.71,11.15,-0.44,47,深华发A,4.99%,14.11
2017-12-06,12:00,零售,1518.99,-0.06%,10.00,9.41,0.58,74,通灵珠宝,5.28%,28.11
2017-12-06,12:00,新材料,4170.73,0.23%,9.97,9.47,0.50,34,天通股份,2.92%,10.59
2017-12-06,12:00,生物制品,5354.41,0.22%,9.79,10.09,-0.30,49,药石科技,8.44%,74.00
2017-12-06,12:00,计算机设备,2557.06,0.15%,8.68,9.73,-1.06,47,新国都,2.47%,24.90
2017-12-06,12:00,国防军工,1323.15,0.11%,8.24,8.42,-0.18,40,北斗星通,3.97%,32.21
2017-12-06,12:00,化工合成材料,3217.55,-0.16%,8.19,9.70,-1.51,76,恒力股份,3.58%,11.85
2017-12-06,12:00,基础化学,2403.06,-0.49%,7.73,9.16,-1.43,45,天原集团,2.13%,8.15
2017-12-06,12:00,煤炭开采,1339.92,-0.32%,7.55,10.18,-2.63,33,山煤国际,4.02%,4.92
2017-12-06,12:00,汽车零部件,2979.79,-0.17%,7.37,10.45,-3.08,104,斯太尔,2.18%,7.02
2017-12-06,12:00,医药商业,4750.2,0.20%,7.03,11.57,-4.54,22,海虹控股,6.40%,32.09
2017-12-06,12:00,环保工程,4644.48,0.11%,6.83,7.08,-0.25,38,蒙草生态,2.58%,13.11
2017-12-06,12:00,汽车整车,1533.34,-0.39%,6.59,10.00,-3.41,25,海马汽车,1.82%,4.47
2017-12-06,12:00,养殖业,2715.83,0.76%,6.28,3.91,2.37,23,新五丰,5.64%,5.99
2017-12-06,12:00,其他电子,4111.62,-0.18%,5.83,8.38,-2.55,46,民德电子,5.71%,55.51
2017-12-06,12:00,通信服务,2612.36,-0.05%,5.78,9.16,-3.38,43,掌阅科技,10.01%,43.20
2017-12-06,12:00,食品加工制造,3274.57,-0.36%,5.21,7.65,-2.44,50,庄园牧场,3.41%,18.49
2017-12-06,12:00,中药,2857.92,-0.14%,4.73,6.38,-1.65,68,众生药业,1.96%,12.49
2017-12-06,12:00,非汽车交运,3070.66,-0.42%,4.73,6.57,-1.84,21,新日股份,1.41%,12.93
2017-12-06,12:00,农产品加工,2682.81,0.13%,4.64,4.49,0.15,37,东凌国际,4.80%,7.86
2017-12-06,12:00,医疗器械服务,7216.21,0.18%,4.57,5.32,-0.75,55,三鑫医疗,4.66%,17.08
2017-12-06,12:00,电力,1042.15,-0.25%,3.84,5.62,-1.78,69,上海电力,2.02%,9.58
2017-12-06,12:00,物流,4779.6,-0.05%,3.83,4.30,-0.47,32,澳洋顺昌,3.62%,10.87
2017-12-06,12:00,综合,1903.28,0.04%,3.60,3.68,-0.08,28,九鼎投资,4.16%,26.04
2017-12-06,12:00,服装家纺,2674.42,0.16%,3.47,2.67,0.80,52,际华集团,6.24%,6.98
2017-12-06,12:00,机场航运,2080.96,-1.13%,3.26,6.35,-3.08,11,中信海直,0.68%,8.91
2017-12-06,12:00,视听器材,2531.78,0.13%,2.93,3.03,-0.10,13,兆驰股份,3.37%,3.99
2017-12-06,12:00,化工新材料,3951.9,0.62%,2.83,2.66,0.17,15,九鼎新材,4.54%,10.59
2017-12-06,12:00,家用轻工,3716.91,-0.59%,2.78,3.52,-0.73,69,好太太,10.04%,15.13
2017-12-06,12:00,石油矿业开采,1736.42,-1.58%,2.77,4.71,-1.93,13,金石资源,2.06%,18.35
2017-12-06,12:00,贸易,2694.66,0.03%,2.71,3.00,-0.29,32,远大控股,4.07%,12.52
2017-12-06,12:00,燃气水务,1542.06,-0.90%,2.64,4.04,-1.40,36,渤海股份,2.53%,18.25
2017-12-06,12:00,港口航运,876.858,-1.04%,2.34,4.73,-2.39,28,秦港股份,1.39%,5.82
2017-12-06,12:00,种植业与林业,2393.63,0.79%,2.32,1.61,0.71,20,苏垦农发,5.03%,14.00
2017-12-06,12:00,包装印刷,2593.17,-0.42%,2.17,2.60,-0.43,35,创新股份,7.86%,92.50
2017-12-06,12:00,公路铁路运输,947.156,-0.24%,1.80,2.38,-0.58,24,重庆路桥,0.69%,4.41
2017-12-06,12:00,造纸,1701.59,-0.59%,1.77,2.51,-0.74,21,冠豪高新,1.32%,4.59
2017-12-06,12:00,景点及旅游,2430.24,0.16%,1.70,1.66,0.04,23,曲江文旅,2.90%,19.19
2017-12-06,12:00,纺织制造,1942.04,-0.08%,1.33,1.84,-0.52,42,天首发展,1.29%,7.07
2017-12-06,12:00,仪器仪表,2807.36,0.17%,1.14,1.60,-0.46,28,必创科技,4.16%,37.60
2017-12-06,12:00,采掘服务,1135.89,-0.78%,1.01,1.73,-0.72,15,通源石油,1.48%,5.50
2017-12-06,12:00,交运设备服务,1158.78,-0.24%,0.90,1.02,-0.13,11,申华控股,1.11%,2.73
2017-12-06,12:00,园区开发,1871.35,-0.02%,0.75,0.78,-0.03,10,电子城,1.34%,11.31
2017-12-06,12:00,农业服务,7302.52,-0.06%,0.49,0.62,-0.13,9,瑞普生物,1.32%,11.51
2017-12-06,12:00,公交,1208.1,0.81%,0.32,0.29,0.03,8,申通地铁,6.46%,10.38
2017-12-06,12:00,酒店及餐饮,1213.33,-0.54%,0.29,0.31,-0.02,10,锦江股份,2.34%,28.42
2017-12-06,13:00,半导体及元件,3676.74,2.32%,53.83,39.70,14.13,71,盈方微,10.00%,6.60
2017-12-06,13:00,光学光电子,3084.49,0.55%,32.02,36.79,-4.77,59,聚灿光电,10.00%,26.72
2017-12-06,13:00,计算机应用,7206,-0.03%,29.14,31.52,-2.37,157,科创信息,9.97%,13.24
2017-12-06,13:00,化学制品,3374.58,-0.01%,27.34,27.45,-0.11,187,中欣氟材,10.04%,10.19
2017-12-06,13:00,通信设备,3290.33,0.10%,25.51,27.89,-2.38,87,铭普光磁,4.03%,36.41
2017-12-06,13:00,有色冶炼加工,1849.78,-0.90%,22.95,33.25,-10.30,79,宝钛股份,4.51%,20.15
2017-12-06,13:00,银行,1098.92,-0.42%,22.42,33.03,-10.61,50,常熟银行,1.26%,7.23
2017-12-06,13:00,房地产开发,2166.21,-0.24%,19.93,23.04,-3.11,129,京汉股份,3.08%,10.05
2017-12-06,13:00,电气设备,3287.11,-0.26%,19.71,24.19,-4.48,190,长缆科技,8.94%,56.65
2017-12-06,13:00,饮料制造,1945.59,-0.26%,18.62,19.64,-1.03,40,香飘飘,10.01%,29.90
2017-12-06,13:00,钢铁,1433.8,-2.21%,17.95,32.16,-14.21,32,常宝股份,3.46%,5.39
2017-12-06,13:00,保险及其他,2901.73,-1.29%,17.72,29.67,-11.95,25,经纬纺机,1.28%,19.71
2017-12-06,13:00,专用设备,3427.31,-0.33%,17.11,21.23,-4.11,142,冀东装备,5.97%,18.82
2017-12-06,13:00,证券,1280.39,-0.42%,14.84,24.60,-9.76,35,华安证券,1.49%,7.52
2017-12-06,13:00,建筑装饰,3750.93,-0.31%,12.83,17.29,-4.46,119,名雕股份,2.85%,21.99
2017-12-06,13:00,化学制药,3494.59,-0.49%,12.58,13.64,-1.06,89,京新药业,3.56%,12.20
2017-12-06,13:00,建筑材料,3788.86,-0.78%,12.40,21.80,-9.40,71,瑞泰科技,4.17%,11.25
2017-12-06,13:00,传媒,2766.23,0.30%,12.23,12.49,-0.26,102,新华传媒,8.20%,5.94
2017-12-06,13:00,通用设备,3375.45,-0.07%,11.08,12.20,-1.12,150,泰嘉股份,10.00%,21.45
2017-12-06,13:00,白色家电,3489.88,-0.39%,11.07,15.68,-4.61,48,万和电气,3.36%,21.20
2017-12-06,13:00,电子制造,4910.4,0.39%,10.71,11.15,-0.44,47,深华发A,4.99%,14.11
2017-12-06,13:00,零售,1518.99,-0.06%,10.00,9.41,0.58,74,通灵珠宝,5.28%,28.11
2017-12-06,13:00,新材料,4170.73,0.23%,9.97,9.47,0.50,34,天通股份,2.92%,10.59
2017-12-06,13:00,生物制品,5354.41,0.22%,9.79,10.09,-0.30,49,药石科技,8.44%,74.00
2017-12-06,13:00,计算机设备,2557.06,0.15%,8.68,9.73,-1.06,47,新国都,2.47%,24.90
2017-12-06,13:00,国防军工,1323.15,0.11%,8.24,8.42,-0.18,40,北斗星通,3.97%,32.21
2017-12-06,13:00,化工合成材料,3217.55,-0.16%,8.19,9.70,-1.51,76,恒力股份,3.58%,11.85
2017-12-06,13:00,基础化学,2403.06,-0.49%,7.73,9.16,-1.43,45,天原集团,2.13%,8.15
2017-12-06,13:00,煤炭开采,1339.92,-0.32%,7.55,10.18,-2.63,33,山煤国际,4.02%,4.92
2017-12-06,13:00,汽车零部件,2979.79,-0.17%,7.37,10.45,-3.08,104,斯太尔,2.18%,7.02
2017-12-06,13:00,医药商业,4750.2,0.20%,7.03,11.57,-4.54,22,海虹控股,6.40%,32.09
2017-12-06,13:00,环保工程,4644.48,0.11%,6.83,7.08,-0.25,38,蒙草生态,2.58%,13.11
2017-12-06,13:00,汽车整车,1533.34,-0.39%,6.59,10.00,-3.41,25,海马汽车,1.82%,4.47
2017-12-06,13:00,养殖业,2715.83,0.76%,6.28,3.91,2.37,23,新五丰,5.64%,5.99
2017-12-06,13:00,其他电子,4111.62,-0.18%,5.83,8.38,-2.55,46,民德电子,5.71%,55.51
2017-12-06,13:00,通信服务,2612.36,-0.05%,5.78,9.16,-3.38,43,掌阅科技,10.01%,43.20
2017-12-06,13:00,食品加工制造,3274.57,-0.36%,5.21,7.65,-2.44,50,庄园牧场,3.41%,18.49
2017-12-06,13:00,中药,2857.92,-0.14%,4.73,6.38,-1.65,68,众生药业,1.96%,12.49
2017-12-06,13:00,非汽车交运,3070.66,-0.42%,4.73,6.57,-1.84,21,新日股份,1.41%,12.93
2017-12-06,13:00,农产品加工,2682.81,0.13%,4.64,4.49,0.15,37,东凌国际,4.80%,7.86
2017-12-06,13:00,医疗器械服务,7216.21,0.18%,4.57,5.32,-0.75,55,三鑫医疗,4.66%,17.08
2017-12-06,13:00,电力,1042.15,-0.25%,3.84,5.62,-1.78,69,上海电力,2.02%,9.58
2017-12-06,13:00,物流,4779.6,-0.05%,3.83,4.30,-0.47,32,澳洋顺昌,3.62%,10.87
2017-12-06,13:00,综合,1903.28,0.04%,3.60,3.68,-0.08,28,九鼎投资,4.16%,26.04
2017-12-06,13:00,服装家纺,2674.42,0.16%,3.47,2.67,0.80,52,际华集团,6.24%,6.98
2017-12-06,13:00,机场航运,2080.96,-1.13%,3.26,6.35,-3.08,11,中信海直,0.68%,8.91
2017-12-06,13:00,视听器材,2531.78,0.13%,2.93,3.03,-0.10,13,兆驰股份,3.37%,3.99
2017-12-06,13:00,化工新材料,3951.9,0.62%,2.83,2.66,0.17,15,九鼎新材,4.54%,10.59
2017-12-06,13:00,家用轻工,3716.91,-0.59%,2.78,3.52,-0.73,69,好太太,10.04%,15.13
2017-12-06,13:00,石油矿业开采,1736.42,-1.58%,2.77,4.71,-1.93,13,金石资源,2.06%,18.35
2017-12-06,13:00,贸易,2694.66,0.03%,2.71,3.00,-0.29,32,远大控股,4.07%,12.52
2017-12-06,13:00,燃气水务,1542.06,-0.90%,2.64,4.04,-1.40,36,渤海股份,2.53%,18.25
2017-12-06,13:00,港口航运,876.858,-1.04%,2.34,4.73,-2.39,28,秦港股份,1.39%,5.82
2017-12-06,13:00,种植业与林业,2393.63,0.79%,2.32,1.61,0.71,20,苏垦农发,5.03%,14.00
2017-12-06,13:00,包装印刷,2593.17,-0.42%,2.17,2.60,-0.43,35,创新股份,7.86%,92.50
2017-12-06,13:00,公路铁路运输,947.156,-0.24%,1.80,2.38,-0.58,24,重庆路桥,0.69%,4.41
2017-12-06,13:00,造纸,1701.59,-0.59%,1.77,2.51,-0.74,21,冠豪高新,1.32%,4.59
2017-12-06,13:00,景点及旅游,2430.24,0.16%,1.70,1.66,0.04,23,曲江文旅,2.90%,19.19
2017-12-06,13:00,纺织制造,1942.04,-0.08%,1.33,1.84,-0.52,42,天首发展,1.29%,7.07
2017-12-06,13:00,仪器仪表,2807.36,0.17%,1.14,1.60,-0.46,28,必创科技,4.16%,37.60
2017-12-06,13:00,采掘服务,1135.89,-0.78%,1.01,1.73,-0.72,15,通源石油,1.48%,5.50
2017-12-06,13:00,交运设备服务,1158.78,-0.24%,0.90,1.02,-0.13,11,申华控股,1.11%,2.73
2017-12-06,13:00,园区开发,1871.35,-0.02%,0.75,0.78,-0.03,10,电子城,1.34%,11.31
2017-12-06,13:00,农业服务,7302.52,-0.06%,0.49,0.62,-0.13,9,瑞普生物,1.32%,11.51
2017-12-06,13:00,公交,1208.1,0.81%,0.32,0.29,0.03,8,申通地铁,6.46%,10.38
2017-12-06,13:00,酒店及餐饮,1213.33,-0.54%,0.29,0.31,-0.02,10,锦江股份,2.34%,28.42
2017-12-06,13:05,半导体及元件,3667.97,2.08%,54.45,40.67,13.79,71,台基股份,10.00%,21.23
2017-12-06,13:05,光学光电子,3081.19,0.44%,32.54,37.97,-5.43,59,聚灿光电,10.00%,26.72
2017-12-06,13:05,计算机应用,7203.65,-0.06%,29.57,32.42,-2.85,157,科创信息,9.97%,13.24
2017-12-06,13:05,化学制品,3373.09,-0.05%,27.65,27.98,-0.33,187,中欣氟材,10.04%,10.19
2017-12-06,13:05,通信设备,3287.58,0.01%,25.91,28.73,-2.82,87,铭普光磁,4.11%,36.44
2017-12-06,13:05,有色冶炼加工,1849.41,-0.92%,23.47,34.00,-10.53,79,宝钛股份,5.13%,20.27
2017-12-06,13:05,银行,1096.51,-0.64%,22.98,34.45,-11.48,50,常熟银行,0.84%,7.20
2017-12-06,13:05,电气设备,3284.73,-0.33%,20.42,25.20,-4.78,190,长缆科技,8.94%,56.65
2017-12-06,13:05,房地产开发,2164.23,-0.33%,20.23,23.84,-3.60,129,京汉股份,3.28%,10.07
2017-12-06,13:05,饮料制造,1943.04,-0.39%,19.10,20.93,-1.83,40,香飘飘,10.01%,29.90
2017-12-06,13:05,钢铁,1432.81,-2.27%,18.43,32.83,-14.40,32,常宝股份,3.46%,5.39
2017-12-06,13:05,保险及其他,2898.67,-1.39%,18.40,32.08,-13.67,25,经纬纺机,1.18%,19.69
2017-12-06,13:05,专用设备,3425.29,-0.39%,17.33,21.56,-4.23,142,冀东装备,6.19%,18.86
2017-12-06,13:05,证券,1280.15,-0.44%,15.11,25.33,-10.22,35,华安证券,1.62%,7.53
2017-12-06,13:05,建筑装饰,3749.29,-0.36%,13.15,17.69,-4.55,119,杰恩设计,3.20%,68.11
2017-12-06,13:05,化学制药,3490.4,-0.61%,12.82,14.16,-1.34,89,京新药业,3.23%,12.16
2017-12-06,13:05,建筑材料,3784.28,-0.90%,12.59,22.39,-9.81,71,深天地A,4.12%,22.50
2017-12-06,13:05,传媒,2764.37,0.23%,12.39,12.77,-0.39,102,新华传媒,7.47%,5.90
2017-12-06,13:05,通用设备,3375.1,-0.09%,11.35,12.54,-1.19,150,泰嘉股份,10.00%,21.45
2017-12-06,13:05,白色家电,3485.36,-0.52%,11.25,16.48,-5.23,48,万和电气,2.54%,21.03
2017-12-06,13:05,电子制造,4906.75,0.31%,10.99,11.51,-0.52,47,深华发A,4.24%,14.01
2017-12-06,13:05,零售,1517.64,-0.15%,10.09,9.59,0.50,74,通灵珠宝,5.06%,28.05
2017-12-06,13:05,新材料,4163.22,0.05%,10.03,9.66,0.37,34,天通股份,2.53%,10.55
2017-12-06,13:05,生物制品,5348.65,0.11%,9.90,10.35,-0.45,49,药石科技,9.17%,74.50
2017-12-06,13:05,计算机设备,2554.68,0.06%,8.85,10.12,-1.27,47,新国都,2.84%,24.99
2017-12-06,13:05,国防军工,1324.52,0.22%,8.62,8.64,-0.03,40,北斗星通,4.20%,32.28
2017-12-06,13:05,化工合成材料,3215.57,-0.22%,8.35,9.98,-1.62,76,恒力股份,3.85%,11.88
2017-12-06,13:05,基础化学,2401.95,-0.54%,7.99,9.42,-1.42,45,天原集团,2.00%,8.14
2017-12-06,13:05,煤炭开采,1339.48,-0.35%,7.74,10.59,-2.85,33,山煤国际,3.81%,4.91
2017-12-06,13:05,汽车零部件,2979.38,-0.19%,7.54,10.72,-3.17,104,金固股份,2.04%,11.00
2017-12-06,13:05,医药商业,4747.86,0.15%,7.12,11.73,-4.61,22,海虹控股,6.40%,32.09
2017-12-06,13:05,环保工程,4642.21,0.06%,6.93,7.25,-0.32,38,三维丝,2.51%,7.77
2017-12-06,13:05,汽车整车,1532,-0.48%,6.76,10.24,-3.48,25,海马汽车,1.59%,4.46
2017-12-06,13:05,养殖业,2723.51,1.04%,6.56,4.08,2.47,23,益生股份,6.61%,25.97
2017-12-06,13:05,通信服务,2610.72,-0.11%,5.97,9.43,-3.46,43,掌阅科技,10.01%,43.20
2017-12-06,13:05,其他电子,4109.2,-0.23%,5.92,8.50,-2.58,46,民德电子,5.87%,55.59
2017-12-06,13:05,食品加工制造,3273.34,-0.40%,5.40,7.97,-2.57,50,庄园牧场,3.02%,18.42
2017-12-06,13:05,非汽车交运,3073.25,-0.34%,5.04,6.67,-1.63,21,中航黑豹,1.79%,30.70
2017-12-06,13:05,农产品加工,2682.33,0.11%,4.83,4.78,0.05,37,东凌国际,4.80%,7.86
2017-12-06,13:05,中药,2856.13,-0.20%,4.81,6.56,-1.75,68,众生药业,2.12%,12.51
2017-12-06,13:05,医疗器械服务,7212.37,0.13%,4.61,5.44,-0.82,55,三鑫医疗,4.84%,17.11
2017-12-06,13:05,电力,1041.34,-0.33%,3.95,5.86,-1.91,69,上海电力,2.02%,9.58
2017-12-06,13:05,物流,4780.01,-0.04%,3.90,4.40,-0.50,32,澳洋顺昌,2.96%,10.80
2017-12-06,13:05,服装家纺,2672.06,0.08%,3.76,2.93,0.83,52,际华集团,6.70%,7.01
2017-12-06,13:05,综合,1902.6,0.01%,3.63,3.78,-0.15,28,九鼎投资,4.20%,26.05
2017-12-06,13:05,机场航运,2078.8,-1.24%,3.33,6.54,-3.21,11,中信海直,0.79%,8.92
